event_name	tweet_id	image	tweet_text	label	label_top
mexico_earthquake	1234568047	data_image\sample_img_157.png	Rescue teams are active in the flood zone, helping stranded residents get to safety. #disaster #mexico_earthquake [ID: 100157]	informative	rescue_volunteering_or_donation_effort
california_wildfires	1234567990	data_image\sample_img_100.png	Our family has lost everything in the fire. We are looking for shelter tonight. #disaster #california_wildfires [ID: 100100]	informative	affected_individuals
hurricane_harvey	1234567919	data_image\sample_img_29.png	Here is the emergency hotline number for local residents: 1-800-555-0199. #disaster #hurricane_harvey [ID: 100029]	informative	other_relevant_information
hurricane_harvey	1234568044	data_image\sample_img_154.png	Check out these news reports about the disaster on TV right now. #disaster #hurricane_harvey [ID: 100154]	not_informative	not_humanitarian
california_wildfires	1234568036	data_image\sample_img_146.png	So many families are displaced and sleeping in their cars. The situation is desperate. #disaster #california_wildfires [ID: 100146]	informative	affected_individuals
mexico_earthquake	1234568012	data_image\sample_img_122.png	People are stranded on their rooftops waiting for the flood waters to recede. #disaster #mexico_earthquake [ID: 100122]	informative	affected_individuals
mexico_earthquake	1234568051	data_image\sample_img_161.png	Flooded streets and damaged buildings in the downtown area. Heavy infrastructure damage seen. #disaster #mexico_earthquake [ID: 100161]	informative	infrastructure_and_utility_damage
california_wildfires	1234567910	data_image\sample_img_20.png	Volunteers needed to help distribute food and clean water at the city center shelter. #disaster #california_wildfires [ID: 100020]	informative	rescue_volunteering_or_donation_effort
nepal_earthquake	1234568022	data_image\sample_img_132.png	Our family has lost everything in the fire. We are looking for shelter tonight. #disaster #nepal_earthquake [ID: 100132]	informative	affected_individuals
california_wildfires	1234567921	data_image\sample_img_31.png	Road is completely blocked by a major landslide. Highway 101 is closed. #disaster #california_wildfires [ID: 100031]	informative	infrastructure_and_utility_damage
california_wildfires	1234567977	data_image\sample_img_87.png	Sharing a meme to keep our spirits up during this difficult time. Stay strong! #disaster #california_wildfires [ID: 100087]	not_informative	not_humanitarian
california_wildfires	1234567929	data_image\sample_img_39.png	Power lines are down across the entire neighborhood. No electricity for 24 hours. #disaster #california_wildfires [ID: 100039]	informative	infrastructure_and_utility_damage
california_wildfires	1234568062	data_image\sample_img_172.png	We have two casualties and several injured people in the local area. Send medical assistance. #disaster #california_wildfires [ID: 100172]	informative	injured_or_dead
hurricane_harvey	1234568056	data_image\sample_img_166.png	Sharing a meme to keep our spirits up during this difficult time. Stay strong! #disaster #hurricane_harvey [ID: 100166]	not_informative	not_humanitarian
mexico_earthquake	1234567962	data_image\sample_img_72.png	Weather update: Hurricane Harvey has made landfall. Stay indoors and stay safe. #disaster #mexico_earthquake [ID: 100072]	informative	other_relevant_information
california_wildfires	1234568054	data_image\sample_img_164.png	Check out these news reports about the disaster on TV right now. #disaster #california_wildfires [ID: 100164]	not_informative	not_humanitarian
mexico_earthquake	1234567896	data_image\sample_img_6.png	The main bridge over the river has collapsed due to high water levels. Avoid the area! #disaster #mexico_earthquake [ID: 100006]	informative	infrastructure_and_utility_damage
