split,row_index,tweet_id,image_id,canonical_evaluation_eligible,canonical_exclusion_reason,robust_evaluation_eligible,robust_exclusion_reason
train,0,917791291823591425,917791291823591425_1,True,,True,
train,1,917791291823591425,917791291823591425_0,True,,True,
train,2,917793137925459968,917793137925459968_0,True,,True,
train,3,917793137925459968,917793137925459968_1,True,,True,
train,4,917793137925459968,917793137925459968_2,True,,True,
train,5,917815040962695168,917815040962695168_1,True,,True,
train,6,917815040962695168,917815040962695168_0,True,,True,
train,7,917815040962695168,917815040962695168_2,True,,True,
train,8,917828283047260161,917828283047260161_0,True,,True,
train,9,917828283047260161,917828283047260161_1,True,,True,
train,10,917828283047260161,917828283047260161_2,True,,True,
train,11,917830092620836864,917830092620836864_0,True,,True,
train,12,917830092620836864,917830092620836864_2,True,,True,
train,13,917830092620836864,917830092620836864_1,True,,True,
train,14,917830092620836864,917830092620836864_3,True,,True,
train,15,917832022017445888,917832022017445888_0,True,,True,
train,16,917832022017445888,917832022017445888_2,True,,True,
train,17,917832022017445888,917832022017445888_1,True,,True,
train,18,917832022017445888,917832022017445888_3,True,,True,
train,19,917834588814155776,917834588814155776_0,True,,True,
train,20,917834588814155776,917834588814155776_1,True,,True,
train,21,917839142880468994,917839142880468994_0,True,,True,
train,22,917839142880468994,917839142880468994_1,True,,True,
train,23,917839142880468994,917839142880468994_3,True,,True,
train,24,917839142880468994,917839142880468994_2,True,,True,
train,25,917949723167875077,917949723167875077_0,True,,True,
train,26,917949723167875077,917949723167875077_1,True,,True,
train,27,917954508231184385,917954508231184385_0,True,,True,
train,28,917954508231184385,917954508231184385_1,True,,True,
train,29,917991257594572800,917991257594572800_0,True,,True,
train,30,917991257594572800,917991257594572800_1,True,,True,
train,31,917991257594572800,917991257594572800_2,True,,True,
train,32,917991257594572800,917991257594572800_3,True,,True,
train,33,918010136072945664,918010136072945664_0,True,,True,
train,34,918010136072945664,918010136072945664_1,True,,True,
train,35,918046279120408576,918046279120408576_0,True,,True,
train,36,918046279120408576,918046279120408576_1,True,,True,
train,37,918060571517480960,918060571517480960_0,True,,True,
train,38,918060571517480960,918060571517480960_1,True,,True,
train,39,918060571517480960,918060571517480960_2,True,,True,
train,40,918104972268535810,918104972268535810_0,True,,True,
train,41,918104972268535810,918104972268535810_1,True,,True,
train,42,918312987299012608,918312987299012608_0,True,,True,
train,43,918312987299012608,918312987299012608_1,True,,True,
train,44,918315972976631808,918315972976631808_0,True,,True,
train,45,918315972976631808,918315972976631808_2,True,,True,
train,46,918315972976631808,918315972976631808_1,True,,True,
train,47,918315972976631808,918315972976631808_3,True,,True,
train,48,918354135350616064,918354135350616064_0,True,,True,
train,49,918354135350616064,918354135350616064_2,True,,True,
train,50,918354135350616064,918354135350616064_3,True,,True,
train,51,919562679404003328,919562679404003328_0,True,,True,
train,52,919562679404003328,919562679404003328_1,True,,True,
train,53,919562679404003328,919562679404003328_3,True,,True,
train,54,919562679404003328,919562679404003328_2,True,,True,
train,55,919566012604874754,919566012604874754_0,True,,True,
train,56,919566012604874754,919566012604874754_1,True,,True,
train,57,919578094398144513,919578094398144513_0,True,,True,
train,58,919578094398144513,919578094398144513_1,True,,True,
train,59,919605179443490822,919605179443490822_0,True,,True,
train,60,919605179443490822,919605179443490822_1,True,,True,
train,61,919668662688239627,919668662688239627_1,True,,True,
train,62,919668662688239627,919668662688239627_0,True,,True,
train,63,919715738104995840,919715738104995840_0,True,,True,
train,64,919715738104995840,919715738104995840_1,True,,True,
train,65,919718726890545152,919718726890545152_0,True,,True,
train,66,919718726890545152,919718726890545152_1,True,,True,
train,67,919718726890545152,919718726890545152_2,True,,True,
train,68,919718726890545152,919718726890545152_3,True,,True,
train,69,919730693285986304,919730693285986304_1,True,,True,
train,70,919730693285986304,919730693285986304_0,True,,True,
train,71,919730693285986304,919730693285986304_2,True,,True,
train,72,919730693285986304,919730693285986304_3,True,,True,
train,73,919734115364147205,919734115364147205_0,True,,True,
train,74,919734115364147205,919734115364147205_1,True,,True,
train,75,919784813535612929,919784813535612929_1,True,,True,
train,76,919784813535612929,919784813535612929_0,True,,True,
train,77,919784813535612929,919784813535612929_2,True,,True,
train,78,919784813535612929,919784813535612929_3,True,,True,
train,79,919806240183631872,919806240183631872_0,True,,True,
train,80,919806240183631872,919806240183631872_1,True,,True,
train,81,919871048652394496,919871048652394496_0,True,,True,
train,82,919871048652394496,919871048652394496_1,True,,True,
train,83,919905731263987712,919905731263987712_0,True,,True,
train,84,919905731263987712,919905731263987712_1,True,,True,
train,85,919905731263987712,919905731263987712_2,True,,True,
train,86,919935983314984960,919935983314984960_1,True,,True,
train,87,919935983314984960,919935983314984960_0,True,,True,
train,88,919965129898205190,919965129898205190_1,True,,True,
train,89,919965129898205190,919965129898205190_0,True,,True,
train,90,919974245106626561,919974245106626561_0,True,,True,
train,91,919974245106626561,919974245106626561_2,True,,True,
train,92,919974245106626561,919974245106626561_1,True,,True,
train,93,919974245106626561,919974245106626561_3,True,,True,
train,94,920005307148804096,920005307148804096_0,True,,True,
train,95,920005307148804096,920005307148804096_1,True,,True,
train,96,920016499473047552,920016499473047552_1,True,,True,
train,97,920016499473047552,920016499473047552_0,True,,True,
train,98,920281575748788224,920281575748788224_0,True,,True,
train,99,920281575748788224,920281575748788224_2,True,,True,
train,100,920281575748788224,920281575748788224_1,True,,True,
train,101,920303079714471936,920303079714471936_1,True,,True,
train,102,920303079714471936,920303079714471936_0,True,,True,
train,103,920307211666116608,920307211666116608_1,True,,True,
train,104,920307211666116608,920307211666116608_0,True,,True,
train,105,920310501451509762,920310501451509762_0,True,,True,
train,106,920310501451509762,920310501451509762_1,True,,True,
train,107,920474622205628416,920474622205628416_0,True,,True,
train,108,920474622205628416,920474622205628416_1,True,,True,
train,109,920474622205628416,920474622205628416_3,True,,True,
train,110,920474622205628416,920474622205628416_2,True,,True,
train,111,920533661170016256,920533661170016256_1,True,,True,
train,112,920533661170016256,920533661170016256_0,True,,True,
train,113,920650692951494656,920650692951494656_0,True,,True,
train,114,920650692951494656,920650692951494656_2,True,,True,
train,115,920650692951494656,920650692951494656_1,True,,True,
train,116,920831780629782528,920831780629782528_0,True,,True,
train,117,920831780629782528,920831780629782528_1,True,,True,
train,118,920831780629782528,920831780629782528_2,True,,True,
train,119,920831780629782528,920831780629782528_3,True,,True,
train,120,920886980745056256,920886980745056256_0,True,,True,
train,121,920886980745056256,920886980745056256_1,True,,True,
train,122,920916661519007745,920916661519007745_0,True,,True,
train,123,920916661519007745,920916661519007745_1,True,,True,
train,124,920916661519007745,920916661519007745_3,True,,True,
train,125,920916661519007745,920916661519007745_2,True,,True,
train,126,921095476455321600,921095476455321600_1,True,,True,
train,127,921095476455321600,921095476455321600_0,True,,True,
train,128,921095476455321600,921095476455321600_2,True,,True,
train,129,921095476455321600,921095476455321600_3,True,,True,
train,130,921623155835224064,921623155835224064_1,True,,True,
train,131,921623155835224064,921623155835224064_0,True,,True,
train,132,921623155835224064,921623155835224064_2,True,,True,
train,133,921623155835224064,921623155835224064_3,True,,True,
train,134,921895226905477120,921895226905477120_0,True,,True,
train,135,921895226905477120,921895226905477120_1,True,,True,
train,136,922144749632479232,922144749632479232_0,True,,True,
train,137,922144749632479232,922144749632479232_1,True,,True,
train,138,922144749632479232,922144749632479232_3,True,,True,
train,139,922144749632479232,922144749632479232_2,True,,True,
train,140,922569327034769408,922569327034769408_0,True,,True,
train,141,922569327034769408,922569327034769408_1,True,,True,
train,142,922569327034769408,922569327034769408_2,True,,True,
train,143,922734446276640768,922734446276640768_0,True,,True,
train,144,922734446276640768,922734446276640768_1,True,,True,
train,145,922785728928665600,922785728928665600_0,True,,True,
train,146,922785728928665600,922785728928665600_1,True,,True,
train,147,922785728928665600,922785728928665600_2,True,,True,
train,148,922890988863021056,922890988863021056_0,True,,True,
train,149,922890988863021056,922890988863021056_1,True,,True,
train,150,922948121939927040,922948121939927040_0,True,,True,
train,151,922948121939927040,922948121939927040_1,True,,True,
train,152,922948121939927040,922948121939927040_2,True,,True,
train,153,923577783367946240,923577783367946240_0,True,,True,
train,154,923577783367946240,923577783367946240_2,True,,True,
train,155,923577783367946240,923577783367946240_1,True,,True,
train,156,923649563746897920,923649563746897920_1,True,,True,
train,157,923649563746897920,923649563746897920_0,True,,True,
train,158,923706401049911297,923706401049911297_0,True,,True,
train,159,923706401049911297,923706401049911297_1,True,,True,
train,160,923725791086526466,923725791086526466_0,True,,True,
train,161,923725791086526466,923725791086526466_1,True,,True,
train,162,869972354004393987,869972354004393987_0,True,,True,
train,163,869972354004393987,869972354004393987_1,True,,True,
train,164,869972354004393987,869972354004393987_2,True,,True,
train,165,869972354004393987,869972354004393987_3,True,,True,
train,166,869977622377320448,869977622377320448_1,True,,True,
train,167,869977622377320448,869977622377320448_0,True,,True,
train,168,869977622377320448,869977622377320448_2,True,,True,
train,169,870008928054259712,870008928054259712_0,True,,True,
train,170,870008928054259712,870008928054259712_1,True,,True,
train,171,870008928054259712,870008928054259712_2,True,,True,
train,172,870035816990425089,870035816990425089_0,True,,True,
train,173,870035816990425089,870035816990425089_1,True,,True,
train,174,870035816990425089,870035816990425089_2,True,,True,
train,175,870035816990425089,870035816990425089_3,True,,True,
train,176,870052558928138240,870052558928138240_1,True,,True,
train,177,870052558928138240,870052558928138240_0,True,,True,
train,178,870052558928138240,870052558928138240_2,True,,True,
train,179,870106080763940866,870106080763940866_0,True,,True,
train,180,870106080763940866,870106080763940866_1,True,,True,
train,181,870106080763940866,870106080763940866_2,True,,True,
train,182,870106080763940866,870106080763940866_3,True,,True,
train,183,870109024036864000,870109024036864000_0,True,,True,
train,184,870109024036864000,870109024036864000_1,True,,True,
train,185,870113671699193857,870113671699193857_0,True,,True,
train,186,870113671699193857,870113671699193857_1,True,,True,
