query_split,query_row_index,query_event,query_label,query_label_top,query_text,query_cleaned_text,prior_split,prior_row_index,prior_event,prior_label,prior_label_top,prior_text,prior_cleaned_text,clip_cosine,lexical_cosine,character_cosine,word_cosine,token_jaccard,sequence_ratio,candidate_signal,same_event,same_informative_label,same_humanitarian_label,current_evaluation_eligible,review_status
test,407,mexico_earthquake,informative,affected_individuals,"Mexico earthquake death toll rises to 230, hundreds of injured still trapped https://t.co/NfZQz0scNu https://t.co/jlYJdKq0qf",mexico earthquake death toll rises to 230 hundreds of injured still trapped,train,3588,mexico_earthquake,informative,infrastructure_and_utility_damage,#Mexico Earthquake: Death Toll Reaches 286 as Rescue Efforts Enter Fourth Day https://t.co/WGH5oknGHY https://t.co/d5Yrl33ASr,mexico earthquake death toll reaches 286 as rescue efforts enter fourth day,0.990647,0.284543,0.250523,0.335573,0.2,0.586667,clip_semantic,True,True,False,True,candidate_not_verified
val,1302,mexico_earthquake,informative,infrastructure_and_utility_damage,Report: Powerful Earthquake Kills Hundreds In Central Mexico https://t.co/QPdDaDALTM https://t.co/5XENXwCuvT,report powerful earthquake kills hundreds in central mexico,train,6893,mexico_earthquake,informative,injured_or_dead_people,At least 217 dead after powerful earthquake hits central Mexico - https://t.co/E53Quc2lz2 https://t.co/HPyXWz29dX,at least 217 dead after powerful earthquake hits central mexico,0.984754,0.499511,0.553149,0.419054,0.285714,0.639344,clip_semantic,True,True,False,True,candidate_not_verified
test,761,srilanka_floods,informative,infrastructure_and_utility_damage,RT @ndtv: Over 200 killed in Sri Lanka's worst flood since 2003 https://t.co/IFKlQ6VQE0 https://t.co/2xSSeH34m4,rt over 200 killed in sri lankas worst flood since 2003,train,6861,srilanka_floods,informative,injured_or_dead_people,RT @IndiaToday: Death toll from Sri Lanka's worst flood since 2003 rises to 151 https://t.co/vL9JK5Vn2e https://t.co/T66G2Jidba,rt death toll from sri lankas worst flood since 2003 rises to 151,0.984394,0.733309,0.712292,0.764833,0.411765,0.683333,clip_semantic,True,True,False,True,candidate_not_verified
test,1720,mexico_earthquake,informative,rescue_volunteering_or_donation_effort,New 6.1 Earthquake Strikes Disaster-WearyÂ Mexico https://t.co/HkfhjB9wW6 https://t.co/DbZ28L1cPY,new 61 earthquake strikes disasterweary mexico,val,1347,mexico_earthquake,informative,other_relevant_information,"Again, 5.9 earthquake strikes already batteredÂ Mexico https://t.co/o50d8i3bUW https://t.co/gHzZyD3wYH",again 59 earthquake strikes already battered mexico,0.98393,0.394334,0.378521,0.418053,0.3,0.721649,clip_semantic,True,True,False,True,candidate_not_verified
val,183,srilanka_floods,not_informative,not_humanitarian,#TCRSeries: Francisco Mora takes second win of the weekend at Portimao: https://t.co/sLSFEMS1Jm https://t.co/DRoeKq08HX,tcrseries francisco mora takes second win of the weekend at portimao,train,12804,srilanka_floods,not_informative,not_humanitarian,#TCRSeries: Francisco Mora scores pole position for Race 2 in Portimao: https://t.co/vuwAvwd7kF https://t.co/ajNI1ncluW,tcrseries francisco mora scores pole position for race 2 in portimao,0.981069,0.647635,0.674774,0.606925,0.222222,0.632353,clip_semantic,True,True,True,True,candidate_not_verified
val,330,hurricane_maria,informative,other_relevant_information,Hurricane Maria destroys Puerto Rico with over 100 mile per hour winds. https://t.co/1sSLSxqoMW https://t.co/kreAYSXhWt,hurricane maria destroys puerto rico with over 100 mile per hour winds,train,3783,hurricane_maria,informative,infrastructure_and_utility_damage,Hurricane Maria continues to cause devastation to Puerto Rico with 140 mph winds. https://t.co/tvt09BXXhJ https://t.co/wbVOBROJ0B,hurricane maria continues to cause devastation to puerto rico with 140 mph winds,0.980754,0.243806,0.298784,0.16134,0.333333,0.68,clip_semantic,True,True,False,True,candidate_not_verified
test,801,srilanka_floods,not_informative,not_humanitarian,RT @ArnellJames1: Please support my GoFundMe campaign: https://t.co/TsROnfin7I @gofundme https://t.co/DbJ9S5HMrN,rt please support my gofundme campaign,train,4045,hurricane_irma,not_informative,not_humanitarian,Please support my GoFundMe campaign: https://t.co/ZRqObEqf3Y @gofundme https://t.co/LKAvpIyftU,please support my gofundme campaign,0.976597,0.946672,0.996423,0.872045,0.833333,0.958904,tfidf_lexical,False,True,True,True,candidate_not_verified
val,2075,hurricane_harvey,informative,infrastructure_and_utility_damage,Hurricanes Like Irma Increase Risk For Sexual Assault https://t.co/0XT44XPsNI https://t.co/gDVFFuIStJ #irma #harvey #resist,hurricanes like irma increase risk for sexual assault irma harvey resist,train,12475,hurricane_irma,informative,other_relevant_information,Hurricanes Increase Risk For Sexual Assault https://t.co/0XT44XPsNI https://t.co/gDVFFuIStJ #hurricane #irma #maria #resist,hurricanes increase risk for sexual assault hurricane irma maria resist,0.962665,0.895796,0.940873,0.828181,0.666667,0.811189,tfidf_lexical,False,True,False,True,candidate_not_verified
test,584,hurricane_harvey,informative,rescue_volunteering_or_donation_effort,Get Started: Tax help for small businesses hit by Harvey and Irma – USA TODAY https://t.co/VUe4rt4N5B https://t.co/592K9EfPMG,get started tax help for small businesses hit by harvey and irma usa today,train,11040,hurricane_irma,informative,other_relevant_information,#SmallBiz #News ; https://t.co/7y4ihZLlE0 --- Get Started: Tax help for small businesses hit by Harvey and Irma - U‚Ä¶ https://t.co/5WWAYp39oU,smallbiz news get started tax help for small businesses hit by harvey and irma u,0.960506,0.804168,0.769244,0.856554,0.705882,0.857143,tfidf_lexical,False,True,False,True,candidate_not_verified
val,283,hurricane_maria,informative,other_relevant_information,Fort Lauderdale News Search Reviews (Tracking Hurricane Maria 9/21) Fort Lauderdale News - https://t.co/NW6oBM1Dkw https://t.co/d8ndRv0sKw,fort lauderdale news search reviews tracking hurricane maria 921 fort lauderdale news,train,10518,hurricane_irma,informative,other_relevant_information,Fort Lauderdale News Search Reviews (Tracking Hurricane Irma 9/7 5AM) Fort Lauderdale News - https://t.co/Ejz9bBJRdB https://t.co/9Wo3ymjm7I,fort lauderdale news search reviews tracking hurricane irma 97 5am fort lauderdale news,0.948566,0.9179,0.921809,0.912036,0.583333,0.930233,tfidf_lexical,False,True,True,True,candidate_not_verified
